Customer_ID,Customer_Name,Gender,Education,Income,Loan_Amount,Loan_Status,Region,Credit_Score,Employment_Type
1,Mrs. Molly Jones MD,Male,High School,88372,330961,Approved,South,744,Salaried
2,Dr. Luis Adams,Female,Post Graduate,119257,262727,Approved,North,642,Salaried
3,Patricia Nielsen,Female,Graduate,81217,472394,Rejected,East,482,Business
4,Audrey Russell,Male,High School,117486,264501,Approved,West,306,Salaried
5,Dr. Eric Berry,Male,High School,97590,70297,Rejected,South,515,Salaried
6,Lindsey Day,Male,Post Graduate,61361,445854,Rejected,North,602,Salaried
7,Anne Meadows,Male,Post Graduate,96742,468230,Rejected,West,458,Salaried
8,Bailey Brown,Female,Graduate,63391,178896,Approved,North,444,Salaried
9,Laura Tucker,Female,High School,47429,86835,Approved,East,859,Self-Employed
10,Nancy Dillon,Male,Graduate,44420,167749,Rejected,East,450,Self-Employed
11,Monique Wyatt,Male,Post Graduate,66843,204617,Approved,South,552,Business
12,Margaret Carter,Male,Post Graduate,93528,317139,Approved,West,818,Self-Employed
13,Laura Parker,Female,Post Graduate,42867,197688,Rejected,South,768,Salaried
14,Lisa Bates,Male,High School,49709,198807,Rejected,South,651,Salaried
15,Jordan Velasquez,Male,High School,106712,43457,Rejected,North,640,Business
16,Joshua Thomas,Female,High School,76673,303281,Approved,South,473,Business
17,Alicia Smith,Male,High School,110192,471520,Rejected,East,709,Self-Employed
18,Nathan Brooks,Male,Graduate,45357,274600,Rejected,West,740,Business
19,Richard Young,Female,Post Graduate,47249,439148,Approved,West,463,Business
20,Dustin Gallegos,Female,Post Graduate,21385,131933,Rejected,North,438,Business
21,Cassie Stewart,Female,High School,101753,239191,Rejected,West,802,Salaried
22,Daniel Cain,Male,Graduate,105371,162207,Approved,West,543,Self-Employed
23,Steven Mccall,Male,High School,69527,110559,Rejected,South,611,Salaried
24,Martha Harrison,Female,High School,48267,233342,Rejected,East,836,Self-Employed
25,Angela Wright,Female,High School,79848,245354,Approved,South,435,Self-Employed
26,Rhonda Brown,Female,High School,60201,262823,Rejected,West,716,Self-Employed
27,William Turner,Male,Graduate,33503,333755,Rejected,South,301,Business
28,Patricia Ho,Male,Post Graduate,104701,473056,Rejected,West,437,Self-Employed
29,Julie Gonzalez,Female,High School,32615,11667,Approved,West,361,Self-Employed
30,Ronald Hall,Male,Graduate,76888,197307,Rejected,West,658,Business
31,Breanna Howard,Female,Graduate,76796,137508,Approved,South,846,Business
32,Jennifer Thomas,Female,High School,114070,131899,Rejected,East,582,Salaried
33,Lawrence Mason,Female,Post Graduate,94910,477946,Approved,West,586,Self-Employed
34,Melissa Harvey,Male,High School,58213,356278,Approved,East,720,Self-Employed
35,Samantha Taylor,Male,Graduate,113345,481443,Approved,East,770,Salaried
36,Kyle Jones,Male,Graduate,75488,69564,Approved,South,562,Business
37,Marcus Garcia,Female,Post Graduate,29420,486089,Approved,East,408,Self-Employed
38,Lauren Clarke,Female,High School,53064,445466,Approved,West,715,Salaried
39,David Lozano,Male,Graduate,37061,91427,Approved,East,367,Self-Employed
40,Cindy Martin,Male,Graduate,111728,251615,Approved,South,798,Business
41,Bailey Osborn,Male,High School,89585,428976,Rejected,West,572,Business
42,Julie Simmons,Male,High School,94545,404063,Rejected,North,765,Business
43,Roger Nguyen,Male,Graduate,40814,245799,Approved,North,411,Business
44,Brian Richardson,Female,High School,109981,50312,Rejected,North,536,Salaried
45,John Caldwell,Female,High School,22460,379279,Rejected,South,603,Business
46,Mr. James Little,Female,Graduate,101563,332211,Rejected,North,885,Business
47,Stephen Wilson,Female,Graduate,96035,483226,Rejected,East,899,Self-Employed
48,Jessica Richards,Male,High School,91349,449991,Rejected,West,431,Self-Employed
49,Shane Hernandez,Male,Post Graduate,69915,404383,Rejected,North,680,Self-Employed
50,Nichole Spears,Male,Post Graduate,23768,354734,Approved,West,666,Self-Employed
51,Donald Wilson,Male,High School,36370,492070,Approved,East,681,Salaried
52,Phillip Davidson,Female,Graduate,24849,413563,Rejected,South,729,Salaried
53,Cody Hanna,Female,Graduate,108297,17991,Rejected,East,800,Salaried
54,Cynthia Wong,Male,Post Graduate,47804,227530,Approved,South,391,Salaried
55,Brittany Clarke,Female,Post Graduate,116244,142701,Rejected,North,519,Salaried
56,Elizabeth Lee,Female,Graduate,59802,203804,Rejected,South,413,Business
57,Robert Dunn,Female,Post Graduate,107161,105235,Rejected,North,626,Business
58,Adam Warren,Male,Post Graduate,95518,221010,Rejected,West,532,Business
59,Beth Castillo,Male,Post Graduate,62457,470446,Approved,West,695,Business
60,Michael Dickerson,Male,Graduate,72823,272637,Approved,North,503,Business
61,Emily Moore,Male,Graduate,58047,450660,Approved,North,408,Salaried
62,Adam Moore,Male,High School,119261,150352,Approved,North,315,Self-Employed
63,Nicholas Fowler,Female,Graduate,22827,388459,Approved,East,657,Salaried
64,Kimberly Osborn,Male,High School,97801,68583,Approved,West,705,Salaried
65,Tony Carpenter,Female,Graduate,40769,121955,Rejected,North,515,Salaried
66,Susan Lee,Female,Post Graduate,42831,320984,Rejected,South,567,Salaried
67,Christine Williams,Female,Graduate,89310,322754,Rejected,South,628,Business
68,Daniel Hill,Female,Post Graduate,101211,373107,Rejected,North,838,Self-Employed
69,Cindy Ramirez,Male,Post Graduate,25855,370155,Rejected,South,813,Business
70,Christopher Simmons,Male,Graduate,68506,165891,Approved,East,396,Self-Employed
71,Guy Ray,Female,Post Graduate,78627,438372,Approved,East,649,Business
72,Alison Cole,Female,High School,80609,22323,Approved,East,664,Self-Employed
73,Dr. Kelly Davies,Male,High School,81124,9317,Rejected,West,527,Self-Employed
74,Calvin Short,Male,Graduate,50703,448003,Approved,South,492,Salaried
75,Antonio Thomas,Male,High School,105298,43573,Rejected,East,420,Self-Employed
76,Karla Calhoun,Male,Graduate,115180,91820,Approved,West,885,Self-Employed
77,Bradley Webster,Female,Post Graduate,113423,314944,Rejected,South,874,Business
78,April Holder,Female,High School,39439,117717,Approved,West,743,Self-Employed
79,Anna Aguilar,Male,Graduate,112819,52136,Approved,North,308,Self-Employed
80,Jermaine Ward,Male,Post Graduate,82560,281509,Approved,East,592,Self-Employed
81,Andrea Cooper,Male,High School,38554,127501,Approved,South,536,Business
82,Charles Ferguson,Female,Graduate,72209,186985,Rejected,North,636,Business
83,Joseph Crawford,Female,High School,91508,78301,Rejected,East,652,Salaried
84,Justin Lambert,Male,High School,52314,183214,Rejected,South,610,Self-Employed
85,Christopher Davies,Male,Graduate,71129,137279,Approved,West,382,Business
86,Kristy Eaton,Female,High School,39618,218478,Approved,South,382,Self-Employed
87,Victoria Scott,Female,Post Graduate,47035,480654,Rejected,West,514,Business
88,Robert Phillips,Male,Graduate,84339,307378,Rejected,South,407,Business
89,Jessica Hunt,Male,High School,56209,178419,Rejected,East,609,Business
90,Vicki Adams,Female,Graduate,70693,203386,Rejected,East,338,Salaried
91,Philip Johnson,Female,Post Graduate,94953,455236,Approved,North,784,Business
92,Mary Martin,Female,Post Graduate,119142,283594,Approved,East,612,Salaried
93,Shane Martinez,Female,Graduate,35399,375292,Approved,East,301,Salaried
94,Mark Christensen,Male,High School,99922,361161,Approved,North,471,Business
95,Annette Bennett,Male,Post Graduate,67224,139082,Rejected,West,507,Business
96,Ashley Burke,Male,High School,63528,153607,Approved,East,633,Self-Employed
97,Morgan Ruiz,Female,High School,29258,171037,Rejected,West,706,Business
98,Kelly Schmidt,Male,Graduate,99056,146347,Rejected,South,589,Salaried
99,Miguel Cochran,Male,Post Graduate,96952,374299,Approved,South,640,Business
100,Bryan Browning,Male,Graduate,89395,191396,Rejected,East,325,Business
101,Tammy Barajas,Female,High School,70080,354083,Approved,North,502,Self-Employed
102,Robert Garcia,Female,Graduate,112994,499320,Approved,East,344,Business
103,Charles Richards,Female,High School,42068,338428,Approved,South,499,Self-Employed
104,Jack Morris,Female,Graduate,98316,242711,Rejected,West,611,Self-Employed
105,Rachel Rivera,Male,High School,94950,364808,Rejected,West,677,Business
106,Billy Massey,Female,High School,42773,333566,Approved,North,371,Business
107,Jessica King,Male,Post Graduate,75849,395553,Approved,North,796,Self-Employed
108,Patricia Harrington,Male,High School,49024,80752,Rejected,South,565,Self-Employed
109,Michelle Harrison,Female,Graduate,50511,444288,Rejected,East,640,Self-Employed
110,Valerie Spencer,Male,Graduate,31365,394413,Rejected,West,433,Salaried
111,Angelica Key,Male,Graduate,22851,262281,Approved,South,332,Salaried
112,Timothy Patel,Female,Post Graduate,73380,121280,Rejected,East,378,Self-Employed
113,Jennifer Howell,Female,Graduate,89249,498359,Rejected,South,505,Salaried
114,Robert Mercado,Male,Graduate,98770,64975,Rejected,North,469,Business
115,Olivia Patel,Female,High School,40085,103487,Rejected,East,879,Self-Employed
116,Danielle Jones,Female,Post Graduate,82258,253280,Rejected,South,468,Business
117,Jerome Carson,Male,High School,109699,197706,Approved,North,523,Self-Employed
118,Tammy Wood,Male,Post Graduate,64608,71022,Rejected,West,420,Business
